character,show,gender,race,role,studio,representation,orientation,year,platform,confirmation,disability,rating
Ms. Mulberry,Clifford the Big Red Dog,"Cis, Woman",White,Recurring Character,Amazon Studios,Explicit,Lesbian,2020,"Amazon Prime Video, PBS Kids",Parenting ,,TV-Y
Mystery Girl,Steven Universe,"Cis, Woman",White,Guest Character,Cartoon Network Studios,Explicit,Unknown,2016,Cartoon Network,"Romantic Gestures, Confession",,TV-PG
Neha,The Dragon Prince,"Cis, Woman",POC,Guest Character,"MWM Studios, Wonderstorm",Explicit,Unknown,2019,Netflix,"Kiss, Romantic Partnership, Parenting",,
Nephrite,Steven Universe,Nonbinary,N/A,Guest Character,Cartoon Network Studios,Explicit,Unknown,2014,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Nerissa,W.I.T.C.H.,"Cis, Woman",White,Recurring Character,"SIP Animation, The Walt Disney Company",Implicit,Bisexual,2014,"ABC Kids, Toon Disney","Social Media, Figure of Speech",,TV-Y7
Netossa,She-Ra and the Princesses of Power,"Cis, Woman",POC,Recurring Character,"DreamWorks Animation Television, Mattel Creations",Explicit,Lesbian,2018,Netflix,"Creative Team Interview, Romantic Partnership, Affection",,
Nicholas/Nikki LaPorte,As Told by Ginger,Unknown,White,Guest Character,"Klasky Csupo, Nickelodeon Animation Studio",Explicit,Unknown,2004,"Nickelodeon, Paramount+","LGBTQ Cultural Activities, Gender Presentation",,TV-Y7
Nick Army,OK K.O.! Let's Be Heroes,"Cis, Man",White,Recurring Character,Cartoon Network Studios,Explicit,Gay,2019,Cartoon Network,"Proposal/Marriage, Confession, Social Media",,
Nigel Ratburn,Arthur,Man,N/A,Recurring Character,"Oasis Animation, WGBH Studios",Explicit,Gay,2019,PBS Kids,"Proposal/Marriage, Creative Team Interview, Confession",,TV-Y
Opal,Steven Universe,Nonbinary,N/A,Guest Character,Cartoon Network Studios,Explicit,Unknown,2014,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Orka,Star Wars Resistance,Man,N/A,Recurring Character,Lucasfilm Animation,Explicit,Gay,2019,"Disney Channel, Disney XD","Creative Team Interview, Romantic Partnership",,TV-Y7
Oscar,George and Martha,Man,N/A,Supporting Character,"Nelvana, Wild Things Productions",Explicit,Gay,1999,HBO Family,"Character Proximity, LGBTQ Cultural References, Marketing",Blurred-Vision,TV-Y
Patrick Ratburn,Arthur,Man,N/A,Guest Character,"Nelvana, Fresh TV",Explicit,Gay,2019,PBS Kids,"Proposal/Marriage, Creative Team Interview, Confession",,TV-Y
Paul,The Hollow,"Cis, Man",White,Recurring Character,Slap Happy Cartoons,Explicit,Gay,2020,Netflix,Parenting ,,
Pearl,Steven Universe,Nonbinary,N/A,Supporting Character,Cartoon Network Studios,Explicit,Queer,2014,Cartoon Network,"Social Media, Romantic Partnership, Affection",,TV-PG
Penumbra,DuckTales,Woman,N/A,Recurring Character,Disney Television Animation,Implicit,Lesbian,2020,"Disney Channel, Disney XD","Social Media, Romantic Rejection/Avoidance",,TV-Y7
Perfuma,She-Ra and the Princesses of Power,"Cis, Woman",POC,Recurring Character,"DreamWorks Animation Television, Mattel Creations",Implicit,Bisexual,2020,Netflix,"Social Media, Affection",,
Peridot,Steven Universe,Nonbinary,N/A,Recurring Character,Cartoon Network Studios,Explicit,"Asexual, Aromantic",2020,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Peter,Hey Arnold!,"Cis, Man",White,Guest Character,"Snee-Osh Productions, Nickelodeon Animation Studio",Implicit,Gay,2016,Nickelodeon,"Creative Team Interview, Character Proximity, Figure of Speech",,TV-Y7
Pothina,Cleopatra In Space,Woman,N/A,Guest Character,"DreamWorks Animation Television, Titmouse",Explicit,Lesbian,2020,Peacock,"Parenting, Affection",,
Prince Andrew,The Bravest Knight,"Cis, Man",POC,Supporting Character,Big Bad Boo Studios,Explicit,Gay,2019,Hulu,"Romantic Partnership, Marketing, Parenting",,TV-PG
Princess Bubblegum,Adventure Time,Woman,N/A,Recurring Character,"Cartoon Network Studios, Frederator Studios",Explicit,Unknown,2018,Cartoon Network,Kiss ,,TV-PG
Professor Venomous,OK K.O.! Let's Be Heroes,"Cis, Man",Undetermined,Recurring Character,Cartoon Network Studios,Explicit,Bisexual,2019,Cartoon Network,"Social Media, Affection, Romantic Gestures",,
Prosecuting Zircon,Steven Universe,Nonbinary,N/A,Guest Character,Cartoon Network Studios,Explicit,Unknown,2017,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Puck/Owen Burnett,Gargoyles,Genderfluid,N/A,Recurring Character,"Disney Television Animation, Nelvana",Implicit,Polysexual,2014,"ABC Kids, Disney Afternoon","Social Media, Creative Team Interview",,TV-Y7
Puddle,Summer Camp Island,Unknown,N/A,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2018,"Cartoon Network, HBO Max","Confession, Romantic Gestures, Pronouns",,TV-Y7
Pullstring,Craig of the Creek,Agender,White,Guest Character,Cartoon Network Studios,Explicit,Undetermined,2021,Cartoon Network,"Insider Confirmation, Pronouns",,TV-Y7
Quentin Frowney,Steven Universe,"Cis, Man",White,Guest Character,Cartoon Network Studios,Implicit,Unknown,2017,Cartoon Network,"Social Media, Figure of Speech, Companion Material",,TV-PG
Rad,Danger & Eggs,"Cis, Woman",White,Guest Character,"PUNY Entertainment, Amazon Studios",Implicit,Queer,2017,Amazon Prime Video,"Character Proximity, Voice Actor",,TV-G
Radicles,OK K.O.! Let's Be Heroes,Man,N/A,Supporting Character,Cartoon Network Studios,Implicit,Fluid,2019,Cartoon Network,"Social Media, Affection",,
Rainbow Quartz 2.0,Steven Universe,Nonbinary,N/A,Guest Character,Cartoon Network Studios,Explicit,Unknown,2019,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Raj,Craig of the Creek,"Cis, Man",POC,Recurring Character,Cartoon Network Studios,Implicit,Gay,2021,Cartoon Network,"Insider Confirmation, Social Media, Affection",,TV-Y7
Ray Razzle,Chip and Potato,Man,N/A,Guest Character,"Darrall Macqueen, WildBrain Studios",Explicit,Unknown,2019,Netflix,Parenting ,,TV-Y
Red Action,OK K.O.! Let's Be Heroes,"Cis, Woman",Unknown,Recurring Character,Cartoon Network Studios,Explicit,Lesbian,2019,Cartoon Network,"Social Media, Kiss, Affection",Amputee/Limb-Difference,
Red Constellation,Twelve Forever,Man,N/A,Guest Character,"PUNY Entertainment, The Cartel",Explicit,Unknown,2019,Netflix,Romantic Partnership ,,TV-PG
Reggie,Twelve Forever,"Cis, Woman",White,Main Character,"PUNY Entertainment, The Cartel",Explicit,Queer,2019,Netflix,"Creative Team Interview, Affection",,TV-PG
Reina,Danger & Eggs,"Cis, Woman",POC,Recurring Character,"PUNY Entertainment, Amazon Studios",Explicit,Queer,2017,Amazon Prime Video,"Creative Team Interview, Affection, Voice Actor",,TV-G
Rhodonite,Steven Universe,Nonbinary,N/A,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2017,Cartoon Network,"Social Media, Romantic Partnership, Marketing",,TV-PG
Richie Foley,Static Shock,"Cis, Man",White,Main Character,"DC Comics, Warner Bros. Animation",Implicit,Gay,2005,Kids' WB,"Social Media, Romantic Rejection/Avoidance, Companion Material",Blurred-Vision,TV-Y7
Robert Simmons,Hey Arnold!,"Cis, Man",White,Recurring Character,"Snee-Osh Productions, Nickelodeon Animation Studio",Implicit,Gay,2016,Nickelodeon,"Creative Team Interview, Character Proximity",,TV-Y7
Rogelio,She-Ra and the Princesses of Power,Man,N/A,Recurring Character,"DreamWorks Animation Television, Mattel Creations",Explicit,Gay,2020,Netflix,"Social Media, Affection, Romantic Symbols/Symbolism",,
Roosevelt Freeman,The Boss Baby: Back in Business,"Cis, Man",POC,Guest Character,DreamWorks Animation Television,Implicit,Gay,2021,Netflix,Insider Confirmation ,,TV-Y7
Rose Quartz,Steven Universe,Nonbinary Femme,N/A,Recurring Character,Cartoon Network Studios,Explicit,Bisexual,2015,Cartoon Network,"Social Media, Romantic Partnership",,TV-PG
Roy Razzle,Chip and Potato,Man,N/A,Guest Character,"Darrall Macqueen, WildBrain Studios",Explicit,Unknown,2019,Netflix,Parenting ,,TV-Y
RuPearl,Bubble Guppies,Unknown,N/A,Guest Character,"Nelvana, Nickelodeon Animation Studio",Explicit,Unknown,2015,Nick Jr.,"Marketing, LGBTQ Cultural Activities",,TV-Y
Ruby,Steven Universe,Nonbinary,N/A,Recurring Character,Cartoon Network Studios,Explicit,Lesbian,2015,Cartoon Network,"Romantic Partnership, Kiss, Proposal/Marriage",,TV-PG
Runaan,The Dragon Prince,Man,N/A,Recurring Character,"MWM Studios, Wonderstorm",Explicit,Unknown,2019,Netflix,"Kiss, Romantic Partnership, Companion Material",,
Sadie Miller,Steven Universe,Unknown,White,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2019,Cartoon Network,"Marketing, Romantic Partnership",,TV-PG
Sam Sharp,The Loud House,"Cis, Woman",White,Recurring Character,Nickelodeon Animation Studio,Explicit,Lesbian,2019,Nickelodeon,"Romantic Gestures, Romantic Partnership",,TV-Y7
Sapphire,Steven Universe,Nonbinary,N/A,Recurring Character,Cartoon Network Studios,Explicit,Lesbian,2015,Cartoon Network,"Romantic Partnership, Kiss, Proposal/Marriage",,TV-PG
Sardonyx,Steven Universe,Nonbinary,N/A,Guest Character,Cartoon Network Studios,Explicit,Unknown,2015,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Scorpia,She-Ra and the Princesses of Power,"Cis, Woman",POC,Supporting Character,"DreamWorks Animation Television, Mattel Creations",Explicit,Lesbian,2019,Netflix,"Affection, Romantic Gestures",,
Sea Hawk,She-Ra and the Princesses of Power,"Cis, Man",White,Recurring Character,"DreamWorks Animation Television, Mattel Creations",Implicit,Queer,2020,Netflix,Social Media ,,
Shannon Longhannon,3Below: Tales of Arcadia,"Cis, Woman",White,Recurring Character,DreamWorks Animation Television,Explicit,Lesbian,2019,Netflix,Kiss ,Blurred-Vision,
Shawn,Craig of the Creek,"Cis, Man",White,Recurring Character,Cartoon Network Studios,Implicit,Gay,2021,Cartoon Network,"Insider Confirmation, Social Media, Affection",,TV-Y7
Shep,Steven Universe: Future,"Trans, Nonbinary",POC,Guest Character,Cartoon Network Studios,Explicit,Unknown,2019,Cartoon Network,"Marketing, Romantic Partnership, Pronouns",,TV-PG
Sheriff Blubs,Gravity Falls,"Cis, Man",POC,Supporting Character,Disney Television Animation,Explicit,Unknown,2016,"Disney Channel, Disney XD","Confession, Affection, Creative Team Interview",,TV-Y7
Silver Spooner,Dexter's Laboratory,Man,N/A,Guest Character,"Cartoon Network Studios, Hanna-Barbera Productions",Implicit,Unknown,1996,Cartoon Network,LGBTQ Cultural References ,,TV-G
Siobhan Cruz,DC Super Hero Girls,"Cis, Woman",POC,Guest Character,"DC Entertainment, Warner Bros. Animation",Explicit,Unknown,2020,Cartoon Network,Parenting ,,TV-PG
Sir Cedric,The Bravest Knight,"Cis, Man",White,Main Character,Big Bad Boo Studios,Explicit,Gay,2019,Hulu,"Romantic Partnership, Marketing, Parenting",,TV-PG
Skeleton,SuperTed,Man,N/A,Main Character,Siriol Animation,Implicit,Gay,2014,Disney Channel,Creative Team Interview ,,
Skout,Nomad of Nowhere,"Cis, Woman",White,Main Character,"Rooster Teeth Animation, Otter Media",Implicit,Lesbian,2018,Rooster Teeth Animation YouTube Channel,"Social Media, Affection",,TV-PG
Smoky Quartz,Steven Universe,Nonbinary,N/A,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2016,Cartoon Network,"Social Media, Creative Team Interview, Pronouns",,TV-PG
Sombra,My Little Pony: Friendship is Magic,Man,N/A,Guest Character,"Hasbro Studios, WildBrain Studios",Implicit,Bisexual,2019,Discovery Family,Social Media ,,TV-Y
Spinach Propulsion,Ready Jet Go!,Unknown,N/A,Guest Character,"Wind Dancer Films, Snee-Oosh Productions",Implicit,Unknown,2020,PBS Kids,Social Media ,,TV-Y
Spinnerella,She-Ra and the Princesses of Power,"Cis, Woman",White,Recurring Character,"DreamWorks Animation Television, Mattel Creations",Explicit,Lesbian,2018,Netflix,"Creative Team Interview, Affection, Romantic Partnership",,
Stacks,Craig of the Creek,"Cis, Woman",POC,Recurring Character,Cartoon Network Studios,Implicit,Lesbian,2021,Cartoon Network,"Insider Confirmation, Affection",,TV-Y7
Stan,Pete the Cat,Man,N/A,Guest Character,Amazon Studios,Explicit,Gay,2018,Amazon Prime Video,Parenting ,,TV-Y
Steven Universe,Steven Universe,Gender Nonconforming,White,Main Character,Cartoon Network Studios,Explicit,Unknown,2015,Cartoon Network,Gender Presentation ,,TV-PG
Stevonnie,Steven Universe,"Intersex, Nonbinary",POC,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2015,Cartoon Network,"Marketing, Companion Material",,TV-PG
Sue Randell,Clarence,"Cis, Woman",White,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2014,Cartoon Network,Parenting ,,TV-PG
Sugilite,Steven Universe,Nonbinary,N/A,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2014,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Sunset Shimmer,My Little Pony: Equestria Girls,Woman,N/A,Recurring Character,"Hasbro Studios, WildBrain Studios",Implicit,Bisexual,2019,My Little Pony Official YouTube Channel,"Affection, Social Media",,TV-Y
Sunstone,Steven Universe,Nonbinary,N/A,Guest Character,Cartoon Network Studios,Explicit,Unknown,2019,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Sweet,Danger & Eggs,Nonbinary,White,Guest Character,"PUNY Entertainment, Amazon Studios",Implicit,Undetermined,2017,Amazon Prime Video,"Character Proximity, Voice Actor",,TV-G
Sweetie Drops,My Little Pony: Friendship is Magic,Woman,N/A,Recurring Character,"Hasbro Studios, WildBrain Studios",Explicit,Unknown,2019,Discovery Family,"Romantic Partnership, Character Proximity",,TV-Y
Syd,Pete the Cat,Man,N/A,Guest Character,Amazon Studios,Explicit,Gay,2018,Amazon Prime Video,Parenting ,,TV-Y
TJ,WordGirl,"Cis, Man",Unknown,Recurring Character,"Scholastic, Soup2Nuts",Implicit,Unknown,2014,PBS Kids,"Social Media, Affection",,TV-Y7
Tabitha,Craig of the Creek,"Cis, Woman",White,Recurring Character,Cartoon Network Studios,Explicit,Lesbian,2019,Cartoon Network,"Kiss, Affection",,TV-Y7
"Takashi ""Shiro"" Shirogane",Voltron: Legendary Defender,"Cis, Man",POC,Main Character,"DreamWorks Animation Television, World Events Productions",Explicit,Gay,2018,Netflix,"Marketing, Kiss, Romantic Partnership",PTSD,
Terry,Big City Greens,"Cis, Man",Undetermined,Recurring Character,Disney Television Animation,Implicit,Gay,2018,Disney Channel,"Social Media, Character Proximity",Blurred-Vision,TV-Y7
The Mayor,Danger & Eggs,"Trans, Woman",POC,Recurring Character,"PUNY Entertainment, Amazon Studios",Implicit,Undetermined,2021,Amazon Prime Video,"Insider Confirmation, Voice Actor, LGBTQ Cultural Events",,TV-G
The Secret Keeper,Craig of the Creek,"Cis, Man",White,Guest Character,Cartoon Network Studios,Implicit,Gay,2021,Cartoon Network,"Insider Confirmation, Voice Actor",,TV-Y7
The Squidhat,The Grim Adventures of Billy & Mandy,Man,N/A,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2005,Cartoon Network,"Proposal/Marriage, Romantic Partnership, Kiss",,
Thea,Doc McStuffins,"Cis, Woman",POC,Guest Character,Brown Bag Films,Explicit,Lesbian,2017,Disney Junior,"Parenting, Voice Actor",,TV-Y
Theoda,Cleopatra In Space,Woman,N/A,Guest Character,"DreamWorks Animation Television, Titmouse",Explicit,Lesbian,2020,Peacock,"Parenting, Affection",,
Tiffany Benson,Fast and Furious: Spy Racers,"Cis, Woman",POC,Recurring Character,"DreamWorks Animation Television, Universal Pictures",Explicit,Lesbian,2019,Netflix,"Insider Confirmation, Parenting",,
Toby Raynes,Superman: The Animated Series,"Cis, Woman",White,Guest Character,Warner Bros. Animation,Implicit,Unknown,2009,Kids' WB,"Creative Team Interview, Character Proximity, Affection",,TV-PG
Topaz,Steven Universe,Nonbinary,N/A,Guest Character,Cartoon Network Studios,Explicit,Unknown,2017,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Troy,Kipo and the Age of Wonderbeasts,"Cis, Man",POC,Recurring Character,DreamWorks Animation Television,Explicit,Gay,2020,Netflix,"Identity in Dialogue, Kiss, Romantic Partnership",,TV-Y7
Ty Sabrewing,DuckTales,Man,N/A,Guest Character,Disney Television Animation,Explicit,Unknown,2019,"Disney Channel, Disney XD",Parenting ,,TV-Y7
Unnamed Boyfriend,Clarence,"Cis, Man",White,Guest Character,Cartoon Network Studios,Explicit,Unknown,2014,Cartoon Network,"Romantic Partnership, Kiss",,TV-PG
Velma Dinkley,Scooby Doo! Mystery Incorporated,"Cis, Woman",White,Main Character,Warner Bros. Animation,Implicit,Lesbian,2020,Cartoon Network,"Social Media, Character Proximity",Low-Vision,
Waiter,Voltron: Legendary Defender,Man,N/A,Guest Character,"DreamWorks Animation Television, World Events Productions",Explicit,Unknown,2018,Netflix,"Creative Team Interview, Affection",,
Wal,Dawn of the Croods,"Cis, Man",POC,Recurring Character,DreamWorks Animation Television,Explicit,Gay,2017,Netflix,"Kiss, Character Proximity",,TV-Y7
Wanda Benson,Fast and Furious: Spy Racers,"Cis, Woman",POC,Recurring Character,"DreamWorks Animation Television, Universal Pictures",Explicit,Lesbian,2019,Netflix,"Insider Confirmation, Parenting",,
Warden Toadblatt,The Grim Adventures of Billy & Mandy,Man,N/A,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2005,Cartoon Network,"Proposal/Marriage, Romantic Partnership, Kiss",,
Wendy Corduroy,Gravity Falls,"Cis, Woman",White,Supporting Character,Disney Television Animation,Implicit,Bisexual,2020,"Disney Channel, Disney XD",Social Media ,,TV-Y7
White Diamond,Steven Universe,Nonbinary,N/A,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2018,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Wilde,George and Martha,Man,N/A,Supporting Character,"Nelvana, Wild Things Productions",Explicit,Gay,1999,HBO Family,"Character Proximity, LGBTQ Cultural References, Marketing",,TV-Y
Willow's Dad 1,The Owl House,Man,N/A,Guest Character,Disney Television Animation,Explicit,Unknown,2020,Disney Channel,Parenting ,,TV-Y7
Willow's Dad 2,The Owl House,Man,N/A,Guest Character,Disney Television Animation,Explicit,Unknown,2020,Disney Channel,Parenting ,,TV-Y7
Wren,Middle School Moguls,Nonbinary,White,Guest Character,"Gengirl Media, Nickelodeon Animation Studio",Explicit,Unknown,2019,Nickelodeon,Marketing ,Blurred-Vision,TV-Y7
Xochi Jalapeño,Victor & Valentino,"Cis, Woman",POC,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2019,Cartoon Network,Affection ,,
Yellow Diamond,Steven Universe,Nonbinary,N/A,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2016,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Yellow Technique,OK K.O.! Let's Be Heroes,"Cis, Woman",POC,Guest Character,Cartoon Network Studios,Implicit,Lesbian,2019,Cartoon Network,Social Media ,,
Yuna's Mom 1,Middle School Moguls,"Cis, Woman",POC,Guest Character,"Gengirl Media, Nickelodeon Animation Studio",Explicit,Unknown,2019,Nickelodeon,Parenting ,,TV-Y7
Yuna's Mom 2,Middle School Moguls,"Cis, Woman",White,Guest Character,"Gengirl Media, Nickelodeon Animation Studio",Explicit,Unknown,2019,Nickelodeon,Parenting ,,TV-Y7
Zadie,Danger & Eggs,"Trans, Woman",POC,Guest Character,"PUNY Entertainment, Amazon Studios",Explicit,Undetermined,2017,Amazon Prime Video,"Creative Team Interview, Voice Actor, LGBTQ Cultural Events",,TV-G
Zarya Moonwolf,Mysticons,"Cis, Woman",White,Main Character,Nelvana,Explicit,Lesbian,2018,"Nickelodeon, Nicktoons","Social Media, Affection, Confession",,TV-Y7
Zerk,Ready Jet Go!,Unknown,N/A,Guest Character,"Wind Dancer Films, Snee-Oosh Productions",Implicit,Unknown,2020,PBS Kids,Social Media ,,TV-Y
Zoit,Lloyd in Space,Agender,N/A,Guest Character,Disney Television Animation,Explicit,Undetermined,2021,"ABC Kids, Toon Disney","Identity in Dialogue, Pronouns",,TV-Y7
Zucchini,Ready Jet Go!,Unknown,N/A,Recurring Character,"Wind Dancer Films, Snee-Oosh Productions",Implicit,Unknown,2020,PBS Kids,Social Media ,,TV-Y
